,idx,balancing
0,0,1.3
1,1,2.0
2,2,1.6
3,3,1.55
4,4,2.0
5,5,1.4
6,6,1.0
7,7,2.0
8,8,1.35
9,9,1.5
10,10,1.27
11,11,1.0
12,12,1.5
13,13,1.45
14,14,1.0
15,15,1.0
16,16,1.0
17,17,1.45
18,18,2.0
19,19,1.4
20,20,1.5
21,21,1.0
22,22,1.9
23,23,1.73
24,24,1.35
25,25,1.35
26,26,1.0
27,27,1.15
28,28,1.5
29,29,1.55
30,30,1.0
31,31,1.0
32,32,1.5
33,33,1.55
34,34,1.3
35,35,1.24
36,36,1.0
37,37,1.0
38,38,2.0
39,39,1.95
40,40,1.0
41,41,2.0
42,42,1.43
43,43,1.4
44,44,1.0
45,45,1.5
46,46,2.0
47,47,2.0
48,48,1.1
49,49,1.5
50,50,1.35
51,51,1.35
52,52,1.0
53,53,1.52
54,54,1.45
55,55,1.55
56,56,1.5
57,57,1.45
58,58,1.4
59,59,2.0
60,60,1.0
61,61,1.5
62,62,2.0
63,63,1.0
64,64,2.0
65,65,2.0
66,66,1.4
67,67,2.0
68,68,1.55
69,69,1.0
70,70,2.0
71,71,2.0
72,72,2.0
73,73,1.0
74,74,1.5
75,75,1.1
76,76,1.95
77,77,1.0
78,78,1.0
79,79,2.0
80,80,1.0
81,81,1.65
82,82,1.9
83,83,1.0
84,84,1.6
85,85,1.7
86,86,1.35
87,87,1.35
88,88,1.7
89,89,2.0
90,90,1.5
91,91,2.0
92,92,1.0
93,93,1.0
94,94,1.5
95,95,2.0
96,96,1.5
97,97,2.0
98,98,1.5
99,99,1.0
100,100,1.65
101,101,2.0
102,102,2.0
103,103,1.25
104,104,2.0
105,105,1.0
106,106,1.0
107,107,1.4
108,108,1.5
109,109,2.0
110,110,1.0
111,111,1.7
112,112,1.5
113,113,2.0
114,114,1.25
115,115,1.45
116,116,1.75
117,117,1.25
118,118,2.0
119,119,1.0
120,120,1.5
121,121,1.57
122,122,1.5
123,123,1.45
124,124,1.6
125,125,1.4
126,126,1.05
127,127,1.65
128,128,2.0
129,129,1.15
130,130,1.5
131,131,1.5
132,132,1.7
133,133,1.5
134,134,1.0
135,135,1.1
136,136,1.48
137,137,1.0
138,138,1.0
139,139,2.0
140,140,1.0
141,141,1.5
142,142,2.0
143,143,2.0
144,144,2.0
145,145,1.05
146,146,1.5
147,147,1.65
148,148,2.0
149,149,1.5
150,150,1.0
151,151,2.0
152,152,1.0
153,153,1.0
154,154,1.4
155,155,1.5
156,156,1.35
157,157,1.0
158,158,1.5
159,159,2.0
160,160,1.19
161,161,1.5
162,162,2.0
163,163,1.5
164,164,2.0
165,165,2.0
166,166,2.0
167,167,1.4
168,168,2.0
169,169,1.0
170,170,1.75
171,171,2.0
172,172,1.2
173,173,2.0
174,174,1.3
175,175,1.0
176,176,2.0
177,177,2.0
178,178,1.75
179,179,1.05
180,180,1.0
181,181,2.0
182,182,1.0
183,183,1.05
184,184,1.15
185,185,1.3
186,186,2.0
187,187,1.0
188,188,1.15
189,189,2.0
190,190,1.35
191,191,1.0
192,192,2.0
193,193,1.55
194,194,1.0
195,195,1.0
196,196,2.0
197,197,1.05
198,198,1.45
199,199,1.15
200,200,1.0
201,201,1.0
202,202,2.0
203,203,1.7
204,204,1.5
205,205,1.45
206,206,1.0
207,207,1.0
208,208,1.4
209,209,1.0
210,210,1.35
211,211,1.35
212,212,1.45
213,213,1.5
214,214,1.45
215,215,1.65
216,216,2.0
217,217,1.48
218,218,2.0
219,219,1.4
220,220,1.6
221,221,2.0
222,222,2.0
223,223,1.6
224,224,1.5
225,225,1.0
226,226,1.9
227,227,1.0
228,228,1.5
229,229,1.4
230,230,1.0
231,231,2.0
232,232,1.6
233,233,1.0
234,234,1.0
235,235,1.0
236,236,1.35
237,237,1.25
238,238,1.75
239,239,2.0
240,240,1.0
241,241,2.0
242,242,1.0
243,243,1.1
244,244,1.0
245,245,1.0
246,246,1.35
247,247,1.45
248,248,2.0
249,249,1.57
250,250,2.0
251,251,1.5
252,252,1.0
253,253,1.85
254,254,1.0
255,255,1.05
256,256,1.57
257,257,1.3
258,258,1.0
259,259,2.0
260,260,1.15
261,261,2.0
262,262,1.0
263,263,1.35
264,264,1.35
265,265,1.0
266,266,1.0
267,267,1.4
268,268,1.5
269,269,1.45
270,270,1.4
271,271,1.65
272,272,1.3
273,273,1.0
274,274,1.5
275,275,1.3
276,276,1.0
277,277,1.4
278,278,2.0
279,279,1.5
280,280,1.05
281,281,1.85
282,282,1.0
283,283,1.86
284,284,2.0
285,285,1.85
286,286,2.0
287,287,1.29
288,288,2.0
289,289,2.0
290,290,2.0
291,291,2.0
292,292,1.5
293,293,1.0
294,294,1.45
295,295,1.0
296,296,1.8
297,297,1.3
298,298,2.0
299,299,2.0
300,300,1.05
301,301,1.5
302,302,1.0
303,303,1.0
304,304,1.35
305,305,1.2
306,306,2.0
307,307,1.6
308,308,2.0
309,309,1.65
310,310,2.0
311,311,1.46
312,312,1.0
313,313,2.0
314,314,1.95
315,315,1.2
316,316,1.5
317,317,2.0
318,318,1.0
319,319,1.1
320,320,2.0
321,321,1.55
322,322,1.25
323,323,1.0
324,324,1.95
325,325,1.05
326,326,1.0
327,327,2.0
328,328,1.0
329,329,1.0
330,330,1.4
331,331,2.0
332,332,1.0
333,333,1.45
334,334,2.0
335,335,1.3
336,336,1.0
337,337,1.6
338,338,1.5
339,339,1.95
340,340,1.0
341,341,1.56
342,342,1.55
343,343,1.0
344,344,1.0
345,345,1.1
346,346,1.5
347,347,1.45
348,348,1.95
349,349,1.15
350,350,2.0
351,351,2.0
352,352,1.9
353,353,1.5
354,354,2.0
355,355,2.0
356,356,2.0
357,357,1.45
358,358,2.0
359,359,1.0
360,360,1.5
361,361,2.0
362,362,1.15
363,363,2.0
364,364,2.0
365,365,1.45
366,366,1.6
367,367,1.4
368,368,1.6
369,369,1.5
370,370,1.2
371,371,1.3
372,372,1.55
373,373,2.0
374,374,1.0
375,375,2.0
376,376,2.0
377,377,2.0
378,378,1.4
379,379,1.0
380,380,1.95
381,381,2.0
382,382,1.0
383,383,2.0
384,384,1.25
385,385,1.5
386,386,1.5
387,387,1.5
388,388,1.05
389,389,1.0
390,390,1.2
391,391,1.5
392,392,1.0
393,393,1.5
394,394,1.0
395,395,1.0
396,396,1.5
397,397,1.0
398,398,1.2
399,399,1.35
400,400,2.0
401,401,1.6
402,402,1.0
403,403,1.0
404,404,1.45
405,405,1.55
406,406,1.0
407,407,1.5
408,408,1.4
409,409,2.0
410,410,1.4
411,411,2.0
412,412,1.0
413,413,1.9
414,414,1.45
415,415,2.0
416,416,1.0
417,417,1.7
418,418,2.0
419,419,1.4
420,420,1.29
421,421,1.38
422,422,2.0
423,423,1.5
424,424,1.5
425,425,1.5
426,426,2.0
427,427,1.0
428,428,1.0
429,429,1.0
430,430,1.5
431,431,1.0
432,432,1.0
433,433,1.0
434,434,1.6
435,435,1.0
436,436,2.0
437,437,1.5
438,438,1.3
439,439,1.0
440,440,1.86
441,441,1.2
442,442,1.55
443,443,2.0
444,444,1.95
445,445,2.0
446,446,1.85
447,447,2.0
448,448,1.25
449,449,1.64
450,450,2.0
451,451,1.0
452,452,1.0
453,453,1.0
454,454,1.3
455,455,1.45
456,456,2.0
457,457,1.9
458,458,1.81
459,459,2.0
460,460,1.5
461,461,1.25
462,462,1.5
463,463,1.0
464,464,1.9
465,465,1.0
466,466,2.0
467,467,1.3
468,468,2.0
469,469,1.5
470,470,2.0
471,471,1.35
472,472,1.3
473,473,2.0
474,474,1.62
475,475,1.0
476,476,1.35
477,477,1.5
478,478,1.8
479,479,1.0
480,480,1.4
481,481,1.4
482,482,2.0
483,483,2.0
484,484,1.6
485,485,1.1
486,486,1.55
487,487,1.0
488,488,2.0
489,489,1.0
490,490,1.0
491,491,2.0
492,492,1.48
493,493,1.3
494,494,1.0
495,495,1.67
496,496,1.45
497,497,1.15
498,498,1.4
499,499,2.0
500,500,2.0
501,501,1.0
502,502,1.5
503,503,2.0
504,504,1.45
505,505,1.65
506,506,1.5
507,507,1.0
508,508,1.55
509,509,1.9
510,510,1.5
511,511,1.0
512,512,2.0
513,513,1.65
514,514,2.0
515,515,1.0
516,516,2.0
517,517,2.0
518,518,1.5
519,519,1.4
520,520,1.0
521,521,1.65
522,522,1.6
523,523,1.55
524,524,1.8
525,525,1.6
526,526,1.0
527,527,1.0
528,528,1.15
529,529,1.1
530,530,1.55
531,531,1.05
532,532,2.0
533,533,1.0
534,534,1.0
535,535,1.65
536,536,1.25
537,537,2.0
538,538,2.0
539,539,2.0
540,540,1.5
541,541,1.0
542,542,1.0
543,543,1.5
544,544,1.5
545,545,2.0
546,546,2.0
547,547,1.25
548,548,1.5
549,549,1.7
550,550,1.0
551,551,1.5
552,552,1.2
553,553,2.0
554,554,1.55
555,555,1.25
556,556,1.5
557,557,1.3
558,558,2.0
559,559,1.4
560,560,2.0
561,561,1.9
562,562,1.35
563,563,1.0
564,564,1.0
565,565,1.8
566,566,1.5
567,567,1.15
568,568,2.0
569,569,1.6
570,570,1.4
571,571,1.25
572,572,1.5
573,573,1.75
574,574,1.95
575,575,1.0
576,576,2.0
577,577,1.2
578,578,1.0
579,579,1.25
580,580,1.6
581,581,1.4
582,582,1.0
583,583,1.36
584,584,1.57
585,585,1.6
586,586,1.5
587,587,2.0
588,588,1.0
589,589,2.0
590,590,1.41
591,591,1.45
592,592,1.5
593,593,1.5
594,594,1.5
595,595,1.44
596,596,2.0
597,597,2.0
598,598,1.95
599,599,2.0
600,600,1.0
601,601,1.6
602,602,1.3
603,603,2.0
604,604,1.0
605,605,2.0
606,606,2.0
607,607,1.0
608,608,1.4
609,609,1.5
610,610,1.5
611,611,1.0
612,612,1.0
613,613,2.0
614,614,1.6
615,615,2.0
616,616,1.7
617,617,1.0
618,618,1.45
619,619,1.4
620,620,1.5
621,621,1.55
622,622,1.55
623,623,1.45
624,624,1.5
625,625,2.0
626,626,2.0
627,627,1.6
628,628,2.0
629,629,1.0
630,630,1.0
631,631,2.0
632,632,1.3
633,633,1.2
634,634,1.5
635,635,2.0
636,636,1.0
637,637,2.0
638,638,2.0
639,639,2.0
640,640,2.0
641,641,2.0
642,642,1.9
643,643,1.5
644,644,1.0
645,645,1.3
646,646,2.0
647,647,1.1
648,648,1.0
649,649,1.65
650,650,1.65
651,651,1.45
652,652,1.5
653,653,1.62
654,654,1.8
655,655,2.0
656,656,1.05
657,657,1.25
658,658,1.6
659,659,1.45
660,660,1.45
661,661,1.2
662,662,2.0
663,663,1.0
664,664,1.25
665,665,1.0
666,666,2.0
667,667,2.0
668,668,1.8
669,669,1.15
670,670,1.0
671,671,1.0
672,672,1.25
673,673,1.65
674,674,1.38
675,675,1.45
676,676,1.62
677,677,2.0
678,678,1.18
679,679,1.0
680,680,1.3
681,681,1.0
682,682,2.0
683,683,1.6
684,684,1.9
685,685,1.0
686,686,1.85
687,687,1.5
688,688,1.5
689,689,1.0
690,690,2.0
691,691,1.05
692,692,2.0
693,693,1.55
694,694,1.0
695,695,1.5
696,696,1.2
697,697,2.0
698,698,1.0
699,699,1.0
700,700,1.0
701,701,1.55
702,702,1.0
703,703,2.0
704,704,1.5
705,705,1.15
706,706,1.0
707,707,1.4
708,708,1.81
709,709,1.75
710,710,1.35
711,711,1.3
712,712,1.3
713,713,1.0
714,714,1.0
715,715,2.0
716,716,1.65
717,717,2.0
718,718,2.0
719,719,1.55
720,720,1.45
721,721,1.5
722,722,1.5
723,723,1.15
724,724,1.63
725,725,1.4
726,726,1.05
727,727,1.6
728,728,1.55
729,729,1.0
730,730,1.55
731,731,2.0
732,732,1.0
733,733,2.0
